,0
1868,95263
1869,95313
1870,95363
1871,95417
1872,95467
1873,95534
1874,95584
1875,95650
1876,95700
1877,95758
1878,95808
1879,95858
1880,95917
1881,95967
1882,96017
1883,96067
1884,96126
1885,96232
1886,96282
1887,96332
1888,96382
1889,96433
1890,96487
1891,96548
1892,96618
1893,96668
1894,96774
1895,96837
1896,96895
1897,96945
1898,97001
1899,97051
1900,97101
1901,97151
1902,97201
1903,97251
1904,97301
1905,97368
1906,97429
1907,97484
1908,97534
1909,97584
1910,97634
1911,97685
1912,97747
1913,97804
1914,97855
1915,97905
1916,97955
1917,98005
1918,98055
1919,98106
1920,98166
1921,98216
1922,98266
1923,98316
1924,98366
1925,98418
1926,98468
1927,98526
1928,98576
1929,98626
1930,98676
1931,98741
1932,98791
1933,98841
1934,98899
1935,98949
1936,98999
1937,99049
1938,99099
1939,99149
1940,99199
1941,99258
1942,99323
1943,99382
1944,99432
1945,99482
1946,99532
1947,99582
1948,99632
1949,99682
1950,99732
1951,99795
1952,99851
1953,99902
1954,99952
1955,100002
1956,100052
1957,100102
1958,100152
1959,100202
1960,100252
1961,100302
1962,100352
1963,100418
1964,100468
1965,100519
1966,100569
1967,100619
1968,100709
1969,100759
1970,100809
1971,100864
1972,100950
1973,101000
1974,101059
1975,101109
1976,101159
1977,101211
1978,101261
1979,101315
1980,101365
1981,101423
1982,101473
1983,101523
1984,101584
1985,101653
1986,101720
1987,101770
1988,101824
1989,101874
1990,101924
1991,101982
1992,102035
1993,102085
1994,102141
1995,102205
1996,102255
1997,102314
1998,102372
1999,102422
2000,102472
2001,102522
2002,102572
2003,102622
2004,102672
2005,102722
2006,102772
2007,102824
2008,102910
2009,102960
2010,103010
2011,103096
2012,103165
2013,103215
2014,103280
2015,103330
2016,103380
2017,103430
2018,103480
2019,103530
2020,103580
2021,103630
2022,103688
2023,103742
2024,103792
2025,103842
2026,103892
2027,103942
2028,104004
2029,104059
2030,104109
2031,104196
2032,104246
2033,104296
2034,104346
2035,104396
2036,104446
2037,104496
2038,104547
2039,104609
2040,104667
2041,104717
2042,104767
2043,104817
2044,104867
2045,104926
2046,104995
2047,105053
2048,105110
2049,105177
2050,105232
2051,105282
2052,105332
2053,105386
2054,105452
2055,105502
2056,105552
2057,105614
2058,105664
2059,105714
2060,105764
2061,105818
2062,105869
2063,105919
2064,105969
2065,106019
2066,106076
2067,106126
2068,106224
2069,106310
2070,106360
2071,106410
2072,106460
2073,106519
2074,106621
2075,106690
2076,106740
2077,106790
2078,106842
2079,106900
2080,106950
2081,107000
2082,107050
2083,107100
2084,107150
2085,107212
2086,107262
2087,107312
2088,107362
2089,107412
2090,107464
2091,107514
2092,107564
2093,107614
2094,107664
2095,107714
2096,107765
2097,107815
2098,107865
2099,107915
2100,107965
2101,108025
2102,108075
2103,108125
2104,108184
2105,108234
2106,108284
2107,108334
2108,108389
2109,108439
2110,108489
2111,108539
2112,108590
2113,108640
2114,108707
2115,108773
2116,108823
2117,108873
2118,108923
2119,108981
2120,109040
2121,109090
2122,109140
2123,109190
2124,109240
2125,109290
2126,109343
2127,109393
2128,109443
2129,109493
2130,109543
2131,109607
2132,109671
2133,109721
2134,109771
2135,109821
2136,109871
2137,109921
2138,109971
2139,110021
2140,110072
2141,110122
2142,110172
2143,110223
2144,110273
2145,110323
2146,110373
2147,110459
2148,110509
2149,110561
2150,110611
2151,110661
2152,110711
2153,110769
2154,110820
2155,110870
2156,110937
2157,110987
2158,111044
2159,111106
2160,111157
2161,111207
2162,111262
2163,111312
2164,111362
2165,111412
2166,111462
2167,111512
2168,111568
2169,111618
2170,111676
2171,111737
2172,111793
2173,111853
2174,111915
2175,111965
2176,112015
2177,112074
2178,112160
2179,112210
2180,112260
2181,112318
2182,112368
2183,112418
2184,112468
2185,112518
2186,112568
2187,112620
2188,112686
2189,112747
2190,112797
2191,112855
2192,112905
2193,112955
2194,113041
2195,113101
2196,113151
2197,113207
2198,113258
2199,113308
2200,113358
2201,113423
2202,113473
2203,113523
2204,113573
2205,113623
2206,113673
2207,113723
2208,113773
2209,113834
2210,113893
2211,113943
2212,113993
2213,114044
2214,114095
2215,114145
2216,114195
2217,114245
2218,114295
2219,114351
2220,114401
2221,114457
2222,114507
2223,114558
2224,114608
2225,114662
2226,114712
2227,114798
2228,114848
2229,114898
2230,114948
2231,115038
2232,115088
2233,115140
2234,115192
2235,115242
2236,115292
2237,115342
2238,115392
2239,115442
2240,115529
2241,115580
2242,115630
2243,115688
2244,115744
2245,115804
2246,115854
2247,115904
2248,115954
2249,116004
2250,116055
2251,116105
2252,116157
2253,116207
2254,116257
2255,116307
2256,116368
2257,116420
2258,116470
2259,116521
2260,116572
2261,116626
2262,116676
2263,116729
2264,116779
2265,116830
2266,116881
2267,116931
2268,116981
2269,117031
2270,117088
2271,117181
2272,117232
2273,117282
2274,117337
2275,117387
2276,117438
2277,117488
2278,117538
2279,117588
2280,117638
2281,117688
2282,117738
2283,117788
2284,117839
2285,117889
2286,117939
2287,117989
2288,118054
2289,118117
2290,118167
2291,118217
2292,118267
2293,118323
2294,118373
2295,118423
2296,118477
2297,118527
2298,118577
2299,118632
2300,118682
2301,118732
2302,118782
2303,118833
2304,118891
2305,118957
2306,119008
2307,119058
2308,119108
2309,119169
2310,119219
2311,119321
2312,119371
2313,119435
2314,119486
2315,119536
2316,119588
2317,119649
2318,119715
2319,119765
2320,119815
2321,119901
2322,119954
2323,120004
2324,120054
2325,120104
2326,120154
2327,120204
2328,120262
2329,120312
2330,120362
2331,120412
2332,120462
2333,120548
2334,120598
2335,120699
2336,120769
2337,120827
2338,120877
2339,120933
2340,120984
2341,121070
2342,121120
2343,121175
2344,121261
2345,121311
2346,121379
2347,121447
2348,121503
2349,121553
2350,121603
2351,121654
2352,121716
2353,121766
2354,121816
2355,121866
2356,121933
2357,121994
2358,122044
2359,122094
2360,122144
2361,122195
2362,122255
2363,122305
2364,122355
2365,122405
2366,122456
2367,122506
2368,122556
2369,122606
2370,122659
2371,122709
2372,122759
2373,122809
2374,122859
2375,122910
2376,122960
2377,123010
2378,123060
2379,123110
2380,123165
2381,123215
2382,123265
2383,123315
2384,123378
2385,123432
2386,123483
2387,123533
2388,123583
2389,123633
2390,123683
2391,123733
2392,123783
2393,123843
2394,123900
2395,123950
2396,124000
2397,124050
2398,124100
2399,124158
2400,124208
2401,124258
2402,124317
2403,124367
2404,124417
2405,124467
2406,124517
2407,124567
2408,124617
2409,124675
2410,124737
2411,124787
2412,124848
2413,124898
2414,125023
2415,125075
2416,125125
2417,125175
2418,125236
2419,125286
2420,125338
2421,125388
2422,125438
2423,125498
2424,125548
2425,125604
2426,125666
2427,125717
2428,125772
2429,125822
2430,125874
2431,125924
2432,125982
2433,126036
2434,126086
2435,126136
2436,126186
2437,126236
2438,126295
2439,126345
2440,126431
2441,126494
2442,126544
2443,126594
2444,126655
2445,126706
2446,126757
2447,126821
2448,126871
2449,126921
2450,126971
2451,127021
2452,127071
2453,127130
2454,127180
2455,127230
2456,127280
